dataDocumento;nome;tipoDespesa;valorDocumento
2024-07-18 00:00:00;Fred Costa;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;6005.0
2024-07-18 00:00:00;Lafayette de Andrada;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2542.72
2024-07-18 00:00:00;Pedro Aihara;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2415.39
2024-07-19 00:00:00;Beto Pereira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;539.55
2024-07-19 00:00:00;Coronel Meira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;115.84
2024-07-19 00:00:00;Fernanda Melchionna;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;139.0
2024-07-19 00:00:00;Pedro Campos;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;880.0
2024-07-19 00:00:00;Prof. Reginaldo Veras;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;243.14
2024-07-20 00:00:00;Daiana Santos;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;275.0
2024-07-20 00:00:00;Erika Hilton;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;6441.88
2024-07-22 00:00:00;Covatti Filho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;833.29
2024-07-22 00:00:00;Da Vitoria;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1741.9
2024-07-22 00:00:00;Greyce Elias;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;776.35
2024-07-22 00:00:00;Josias Gomes;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1510.26
2024-07-22 00:00:00;Silvia Waiãpi;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3200.0
2024-07-22 00:00:00;Zucco;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1944.37
2024-07-23 00:00:00;Chico Alencar;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;4245.73
2024-07-23 00:00:00;Daniel Almeida;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;924.35
2024-07-23 00:00:00;Maria Arraes;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;250.0
2024-07-23 00:00:00;Miguel Ângelo;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;86.66
2024-07-23 00:00:00;Ronaldo Nogueira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2384.81
2024-07-23 15:23:53;Sanderson;COMBUSTÍVEIS E LUBRIFICANTES.;226.75
2024-07-23 16:33:30;Adail Filho;COMBUSTÍVEIS E LUBRIFICANTES.;220.0
2024-07-24 00:00:00;André Janones;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;520.38
2024-07-24 00:00:00;Antonio Brito;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3406.33
2024-07-24 00:00:00;Daniel Almeida;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;5659.0
2024-07-24 00:00:00;Luiz Gastão;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;870.37
2024-07-24 16:15:31;Julio Cesar Ribeiro;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
2024-07-24 18:15:53;Lula da Fonte;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
2024-07-25 00:00:00;Alfredo Gaspar;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
2024-07-25 00:00:00;Aluisio Mendes;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;926.26
2024-07-25 00:00:00;Chris Tonietto;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3067.75
2024-07-25 00:00:00;Dr. Victor Linhalis;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1293.06
2024-07-25 00:00:00;Franciane Bayer;COMBUSTÍVEIS E LUBRIFICANTES.;161.01
2024-07-25 00:00:00;José Guimarães;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;592.87
2024-07-25 00:00:00;Leo Prates;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;712.78
2024-07-25 00:00:00;Mauro Benevides Filho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1283.12
2024-07-26 00:00:00;Alberto Fraga;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;7449.0
2024-07-26 00:00:00;Carlos Zarattini;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;93.79
2024-07-26 00:00:00;Delegado Fabio Costa;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;1600.0
2024-07-26 00:00:00;Domingos Sávio;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;880.0
2024-07-26 00:00:00;Erika Hilton;PASSAGEM AÉREA - REEMBOLSO;4235.51
2024-07-26 00:00:00;Joaquim Passarinho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;4837.75
2024-07-26 00:00:00;Lídice da Mata;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1201.68
2024-07-26 00:00:00;Marcelo Moraes;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;271.81
2024-07-26 00:00:00;Pompeo de Mattos;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1953.21
2024-07-26 00:00:00;Raimundo Santos;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1373.06
2024-07-27 00:00:00;Luiz Philippe de Orleans e Bragança;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;117.45
2024-07-27 07:20:48;Adail Filho;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
2024-07-28 12:09:04;Elisangela Araujo;COMBUSTÍVEIS E LUBRIFICANTES.;300.0
2024-07-29 00:00:00;Amaro Neto;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2453.54
2024-07-29 00:00:00;Claudio Cajado;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1062.25
2024-07-29 00:00:00;Geraldo Mendes;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;197.0
2024-07-29 00:00:00;Jack Rocha;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1400.0
2024-07-29 00:00:00;Márcio Jerry;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;710.3399999999999
2024-07-29 00:00:00;Rosana Valle;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2588.0
2024-07-29 00:00:00;Tião Medeiros;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1725.65
2024-07-29 10:49:17;Allan Garcês;COMBUSTÍVEIS E LUBRIFICANTES.;428.23
2024-07-30 00:00:00;Cobalchini;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;890.0
2024-07-30 00:00:00;Covatti Filho;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;5500.0
2024-07-30 00:00:00;Duda Salabert;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;167.52
2024-07-30 00:00:00;Elisangela Araujo;COMBUSTÍVEIS E LUBRIFICANTES.;321.22
2024-07-30 00:00:00;Marcelo Álvaro Antônio;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1608.8
2024-07-30 00:00:00;Roberta Roma;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2109.57
2024-07-30 00:00:00;Rogério Correia;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1608.8
2024-07-30 00:00:00;Rosângela Reis;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1608.8
2024-07-30 14:07:09;Josivaldo JP;COMBUSTÍVEIS E LUBRIFICANTES.;200.03
2024-07-30 15:26:38;Padovani;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
2024-07-31 00:00:00;Chris Tonietto;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;680.74
2024-07-31 00:00:00;David Soares;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;4025.44
2024-07-31 00:00:00;Denise Pessôa;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;275.0
2024-07-31 00:00:00;Greyce Elias;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;555.84
2024-07-31 00:00:00;Juliana Cardoso;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;55.79
2024-07-31 00:00:00;Marcio Alvino;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;566.6
2024-07-31 00:00:00;Yury do Paredão;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;5000.0
2024-07-31 18:18:00;Coronel Meira;COMBUSTÍVEIS E LUBRIFICANTES.;236.2
2024-08-01 00:00:00;AJ Albuquerque;COMBUSTÍVEIS E LUBRIFICANTES.;596.79
2024-08-01 00:00:00;Abilio Brunini;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;7000.0
2024-08-01 00:00:00;Adriana Ventura;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;606.0
2024-08-01 00:00:00;Adriano do Baldy;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5000.0
2024-08-01 00:00:00;Afonso Hamm;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;400.0
2024-08-01 00:00:00;Alexandre Guimarães;COMBUSTÍVEIS E LUBRIFICANTES.;511.14
2024-08-01 00:00:00;Alexandre Lindenmeyer;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3700.0
2024-08-01 00:00:00;Aluisio Mendes;COMBUSTÍVEIS E LUBRIFICANTES.;330.03
2024-08-01 00:00:00;Amaro Neto;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;20000.0
2024-08-01 00:00:00;Ana Paula Leão;COMBUSTÍVEIS E LUBRIFICANTES.;437.4
2024-08-01 00:00:00;Ana Paula Leão;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;10218.2
2024-08-01 00:00:00;Ana Paula Lima;COMBUSTÍVEIS E LUBRIFICANTES.;50.0
2024-08-01 00:00:00;Ana Paula Lima;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;32.89
2024-08-01 00:00:00;Antônio Doido;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;330.0
2024-08-01 00:00:00;Any Ortiz;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;320.0
2024-08-01 00:00:00;Arnaldo Jardim;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1017.68
2024-08-01 00:00:00;Arthur Lira;COMBUSTÍVEIS E LUBRIFICANTES.;222.34
2024-08-01 00:00:00;Bacelar;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;12650.0
2024-08-01 00:00:00;Baleia Rossi;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;745.0
2024-08-01 00:00:00;Beto Pereira;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;318.67
2024-08-01 00:00:00;Beto Preto;COMBUSTÍVEIS E LUBRIFICANTES.;383.84
2024-08-01 00:00:00;Bia Kicis;COMBUSTÍVEIS E LUBRIFICANTES.;238.58
2024-08-01 00:00:00;Bibo Nunes;COMBUSTÍVEIS E LUBRIFICANTES.;218.57
2024-08-01 00:00:00;Bibo Nunes;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;424.26
2024-08-01 00:00:00;Capitão Alberto Neto;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;12425.0
2024-08-01 00:00:00;Capitão Alden;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;9000.0
2024-08-01 00:00:00;Castro Neto;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3686.0
2024-08-01 00:00:00;Chris Tonietto;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;232.2
2024-08-01 00:00:00;Coronel Fernanda;COMBUSTÍVEIS E LUBRIFICANTES.;360.02
2024-08-01 00:00:00;Covatti Filho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;576.0
2024-08-01 00:00:00;Cristiane Lopes;COMBUSTÍVEIS E LUBRIFICANTES.;199.5
2024-08-01 00:00:00;Célio Studart;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;10000.0
2024-08-01 00:00:00;Damião Feliciano;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;1050.0
2024-08-01 00:00:00;Daniel Trzeciak;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;6575.04
2024-08-01 00:00:00;Delegada Ione;COMBUSTÍVEIS E LUBRIFICANTES.;313.39
2024-08-01 00:00:00;Delegado Matheus Laiola;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;7267.4
2024-08-01 00:00:00;Delegado Palumbo;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;333.39
2024-08-01 00:00:00;Delegado da Cunha;COMBUSTÍVEIS E LUBRIFICANTES.;228.59
2024-08-01 00:00:00;Diego Garcia;COMBUSTÍVEIS E LUBRIFICANTES.;62.4
2024-08-01 00:00:00;Diego Garcia;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;203.98
2024-08-01 00:00:00;Domingos Sávio;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;500.0
2024-08-01 00:00:00;Dr. Jaziel;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;5000.0
2024-08-01 00:00:00;Dr. Luiz Ovando;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
2024-08-01 00:00:00;Dr. Luiz Ovando;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;334.72
2024-08-01 00:00:00;Dr. Zacharias Calil;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;869.5
2024-08-01 00:00:00;Duda Salabert;COMBUSTÍVEIS E LUBRIFICANTES.;2390.34
2024-08-01 00:00:00;Eduardo Bismarck;COMBUSTÍVEIS E LUBRIFICANTES.;400.04
2024-08-01 00:00:00;Eduardo Velloso;COMBUSTÍVEIS E LUBRIFICANTES.;3269.02
2024-08-01 00:00:00;Emidinho Madeira;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;800.0
2024-08-01 00:00:00;Euclydes Pettersen;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;290.0
2024-08-01 00:00:00;Fabio Schiochet;COMBUSTÍVEIS E LUBRIFICANTES.;289.52
2024-08-01 00:00:00;Felipe Carreras;COMBUSTÍVEIS E LUBRIFICANTES.;282.44
2024-08-01 00:00:00;Fernanda Melchionna;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;175.0
2024-08-01 00:00:00;Fernando Coelho Filho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;659.3
2024-08-01 00:00:00;Flávio Nogueira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;94.9
2024-08-01 00:00:00;Fred Costa;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2028.09
2024-08-01 00:00:00;Fábio Teruel;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;704.0
2024-08-01 00:00:00;General Girão;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;770.18
2024-08-01 00:00:00;Geraldo Resende;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;180.0
2024-08-01 00:00:00;Gilson Daniel;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2500.0
2024-08-01 00:00:00;Giovani Cherini;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;411.84
2024-08-01 00:00:00;Gustavo Gayer;COMBUSTÍVEIS E LUBRIFICANTES.;340.65
2024-08-01 00:00:00;Gustavo Gayer;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;499.8
2024-08-01 00:00:00;Gutemberg Reis;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3381.15
2024-08-01 00:00:00;Helena Lima;COMBUSTÍVEIS E LUBRIFICANTES.;491.99
2024-08-01 00:00:00;Hugo Leal;COMBUSTÍVEIS E LUBRIFICANTES.;198.13
2024-08-01 00:00:00;Ivan Valente;COMBUSTÍVEIS E LUBRIFICANTES.;246.11
2024-08-01 00:00:00;Jefferson Campos;COMBUSTÍVEIS E LUBRIFICANTES.;1553.09
2024-08-01 00:00:00;Jonas Donizette;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;171.67
2024-08-01 00:00:00;Jorge Goetten;COMBUSTÍVEIS E LUBRIFICANTES.;790.61
2024-08-01 00:00:00;Josenildo;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;13500.0
2024-08-01 00:00:00;Juliana Cardoso;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2125.0
2024-08-01 00:00:00;Juninho do Pneu;COMBUSTÍVEIS E LUBRIFICANTES.;553.05
2024-08-01 00:00:00;Juninho do Pneu;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;12500.0
2024-08-01 00:00:00;Júnior Ferrari;COMBUSTÍVEIS E LUBRIFICANTES.;380.05
2024-08-01 00:00:00;Kiko Celeguim;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;8990.0
2024-08-01 00:00:00;Lafayette de Andrada;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3910.06
2024-08-01 00:00:00;Leonardo Gadelha;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
2024-08-01 00:00:00;Leonardo Gadelha;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;512.5
2024-08-01 00:00:00;Leur Lomanto Júnior;COMBUSTÍVEIS E LUBRIFICANTES.;833.25
2024-08-01 00:00:00;Lincoln Portela;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
2024-08-01 00:00:00;Luciano Bivar;COMBUSTÍVEIS E LUBRIFICANTES.;300.0
2024-08-01 00:00:00;Luciano Ducci;COMBUSTÍVEIS E LUBRIFICANTES.;488.39
2024-08-01 00:00:00;Luciano Ducci;TELEFONIA;179.39
2024-08-01 00:00:00;Luisa Canziani;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;8425.0
2024-08-01 00:00:00;Luiz Gastão;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;169.9
2024-08-01 00:00:00;Luiz Nishimori;COMBUSTÍVEIS E LUBRIFICANTES.;3886.36
2024-08-01 00:00:00;Luiza Erundina;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;6420.93
2024-08-01 00:00:00;Lídice da Mata;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;480.0
2024-08-01 00:00:00;Marcel van Hattem;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;275.0
2024-08-01 00:00:00;Marcelo Moraes;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;250.0
2024-08-01 00:00:00;Marcelo Álvaro Antônio;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
2024-08-01 00:00:00;Marcos Pereira;COMBUSTÍVEIS E LUBRIFICANTES.;286.52
2024-08-01 00:00:00;Marcos Pereira;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;20000.0
2024-08-01 00:00:00;Maria do Rosário;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;123.0
2024-08-01 00:00:00;Marreca Filho;COMBUSTÍVEIS E LUBRIFICANTES.;2671.9
2024-08-01 00:00:00;Marx Beltrão;COMBUSTÍVEIS E LUBRIFICANTES.;305.03
2024-08-01 00:00:00;Mauricio Marcon;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;9179.9
2024-08-01 00:00:00;Maurício Carvalho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;171.08
2024-08-01 00:00:00;Meire Serafim;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;61.36
2024-08-01 00:00:00;Mendonça Filho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;9000.0
2024-08-01 00:00:00;Merlong Solano;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;890.0
2024-08-01 00:00:00;Miguel Lombardi;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2016.4
2024-08-01 00:00:00;Miguel Ângelo;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
2024-08-01 00:00:00;Miguel Ângelo;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5000.0
2024-08-01 00:00:00;Missionária Michele Collins;COMBUSTÍVEIS E LUBRIFICANTES.;310.26
2024-08-01 00:00:00;Newton Cardoso Jr;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;6200.0
2024-08-01 00:00:00;Nikolas Ferreira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5000.0
2024-08-01 00:00:00;Nilto Tatto;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3620.0
2024-08-01 00:00:00;Odair Cunha;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5384.99
2024-08-01 00:00:00;Otto Alencar Filho;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;10500.0
2024-08-01 00:00:00;Otto Alencar Filho;TELEFONIA;179.64
2024-08-01 00:00:00;Padovani;COMBUSTÍVEIS E LUBRIFICANTES.;469.96000000000004
2024-08-01 00:00:00;Pastor Gil;COMBUSTÍVEIS E LUBRIFICANTES.;180.0
2024-08-01 00:00:00;Pastor Sargento Isidório;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
2024-08-01 00:00:00;Paulo Abi-Ackel;COMBUSTÍVEIS E LUBRIFICANTES.;302.13
2024-08-01 00:00:00;Paulo Azi;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
2024-08-01 00:00:00;Pedro Aihara;COMBUSTÍVEIS E LUBRIFICANTES.;290.13
2024-08-01 00:00:00;Pedro Campos;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2500.0
